geography;race_ethnicity;incarceration_rate
Arizona;Native Hawaiian and other Pacific Islander alone;8135.673624288425
Arizona;Black or African American alone;3183.68544600939
Arizona;American Indian and Alaska Native alone;2267.231872767925
Arizona;Some other race alone;1690.393795062727
Arizona;Hispanic or Latino;1452.8672943393897
Arizona;Population at large;1060.1817861247866
Arizona;White alone;774.7817123232932
Arizona;Two or more races;731.5620705451214
Arizona;Asian alone;642.9157587934011
Arizona;White alone, not Hispanic or Latino;633.3667690664179
